"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RSAD2",3.78725816071387,7.28286877329715,62.7402082645809,7.55946930100501e-16,5.36495536292326e-12,25.9187667841278
"S",4.1343521838553,12.2244469241884,48.5960935229529,1.3803958213625e-14,4.89833457210483e-11,23.6402497875775
"IFIT3",1.8840277527168,10.3196704994577,46.5791595983419,2.23404197927041e-14,5.28499864229404e-11,23.2331316259885
"IFI44",1.77673767317329,9.05570228890516,42.8136208087727,5.81597186847148e-14,8.61035059920698e-11,22.4023165703117
"M",3.43932894360057,9.97402908611285,42.6211793905242,6.12094380671429e-14,8.61035059920698e-11,22.3571654274957
"IFIH1",1.61613761345349,10.443268676407,41.9748519313659,7.27942843387937e-14,8.61035059920698e-11,22.2034750536424
"MX2",2.27819778413494,8.71445446200941,39.8863816493776,1.29843268909998e-13,1.30819395385221e-10,21.6843089800527
"DDX58",1.10079097728964,10.9207530428932,39.4410549790543,1.47464444565559e-13,1.30819395385221e-10,21.5689297386941
"MX1",1.51203207252964,11.015844464072,37.6824654692721,2.47243551180347e-13,1.84348099175589e-10,21.0961127566291
"N",2.61854025821991,12.7490622282113,37.5185807811124,2.59754965725784e-13,1.84348099175589e-10,21.0505991269333
"OAS2",2.19205200775546,9.86358523914069,35.396146639899,5.02183439159671e-13,3.23999624337835e-10,20.4372581743002
"PARP12",1.43442334638052,8.86369027908916,34.4029853179857,6.92918274118304e-13,4.0036815351467e-10,20.134131132088
"TRIM22",2.72978847811663,7.43771627390895,34.2307818959847,7.33378328264156e-13,4.0036815351467e-10,20.0804653330313
"IFIT2",2.76723940928265,8.87522207981022,33.8529953305581,8.31432334022619e-13,4.03846147709912e-10,19.9615532875619
"CMPK2",1.69371236754643,7.91327867004792,33.7744519467555,8.53556744490443e-13,4.03846147709912e-10,19.9366254748603
"IFIT1",2.29742298488909,9.95316527572631,33.489055761607,9.39497960215293e-13,4.16726063977996e-10,19.8454438530906
"IFI44L",1.74448579513769,8.33486007638187,32.5418241434344,1.2993249899838e-12,5.42429967877355e-10,19.5358600498241
"SLC30A1",1.13544816464979,7.17549008449615,31.126325424161,2.14697404751731e-12,8.46504156401687e-10,19.052302871626
"AURKA",-1.14368107239597,7.61053603875829,-30.6629916382609,2.54292840310698e-12,9.49850677728958e-10,18.8882706318979
"ORF3a",5.62104744889014,8.92897848904909,30.2228025888414,2.99352359506138e-12,1.06225184770753e-09,18.7296836142568
"rep",3.52442191850401,8.79665761827141,29.3911703553916,4.10043170003481e-12,1.38575065595938e-09,18.4225020398511
"TP53",-1.3266454214771,7.59360657366124,-28.0648708333887,6.89861783801748e-12,2.22543139983682e-09,17.910992741295
"STAT1",1.00925226357788,11.4269191394958,27.8354104184254,7.56663924606879e-12,2.33480168388479e-09,17.8196635639363
"KIF20A",-1.62777350217572,8.01282861987865,-27.5799284058459,8.39414981834737e-12,2.4822200525338e-09,17.7169549836005
"TFRC",-1.070665228285,10.5023845864224,-27.4098964640666,8.99912825458258e-12,2.5546725289109e-09,17.6479933082115
"OASL",1.67719079783845,9.05137814329336,26.5805021077529,1.27142412705699e-11,3.34196186286054e-09,17.3044723366483
"TAX1BP1",-1.03961200345355,8.52764987846704,-26.0781728585951,1.57550714396257e-11,3.72712473356745e-09,17.090460398328
"SEMA7A",1.20192506134387,9.6368217650092,25.9695489718287,1.65115360592316e-11,3.78007649717311e-09,17.0435719107148
"ITM2C",-1.02757039528617,5.87912610673477,-25.4672245171594,2.05617644865492e-11,4.56021383003248e-09,16.8238422436929
"PARP10",1.01570878167598,8.4155167955359,25.0691713992604,2.45390504575312e-11,5.27738306354844e-09,16.6462594031212
"MUC20",-1.88966611006964,4.56052696039084,-24.851290397989,2.70641895699226e-11,5.48784438222116e-09,16.547724501724
"GBP4",1.3782099169769,8.93477520308045,24.6744016330703,2.93221128932636e-11,5.49703317405905e-09,16.4670216058617
"THBS1",1.236434620334,10.6457749466204,24.3376285513512,3.4207522495689e-11,6.22489197825397e-09,16.3115925324824
"STAT2",1.02882541095375,9.77022017923099,24.0727236161534,3.86720140260885e-11,6.86138208857875e-09,16.1876594774971
"IRF7",2.04139077760172,4.86714217621658,23.872111905677,4.24736375471459e-11,7.1770334683832e-09,16.0928055348309
"KIF2C",-1.16514468990097,8.22512350864842,-23.5499764042678,4.94544719524983e-11,8.16228808016001e-09,15.9386535740381
"RAD51AP1",-1.10819808407344,6.51601154286723,-23.4110106186388,5.28425248516531e-11,8.52325906527686e-09,15.8714426487238
"SLC39A10",-1.25574612701807,7.16111673549243,-23.3260684721298,5.50370346375733e-11,8.64592896313335e-09,15.8301461948058
"TPX2",-1.0847686933827,10.3622987754464,-22.8988395836429,6.76839031893987e-11,1.01095110173549e-08,15.6199348028835
"IFNGR1",-1.20668762600596,5.47407452963109,-22.8780550934218,6.83748807711761e-11,1.01095110173549e-08,15.6096000430316
"IFI6",1.46725944341706,4.8244144264562,22.4892452449694,8.28194907853470e-11,1.17553985220722e-08,15.4143814543242
"HERC5",1.58480838382275,7.07919012634031,21.9795946068975,1.06992485734213e-10,1.46024167549175e-08,15.1529242372937
"TYMS",-1.19834720936366,6.32614717283785,-21.2921107461678,1.52531117566956e-10,2.04247800258998e-08,14.7897976266566
"CEP55",-1.43130158086181,8.36549955967766,-21.2055312645036,1.59620703013234e-10,2.09782986904615e-08,14.7431863943414
"CYP24A1",-1.04501401662694,8.4590653385459,-21.1410451043553,1.65133472220987e-10,2.10622397588108e-08,14.708338457591
"RARRES1",-1.04422108996317,7.38903104199157,-20.8567125526661,1.92029755887432e-10,2.37918685580387e-08,14.553337335576
"PLK1",-1.06533328417102,8.72863565916096,-20.8333897196449,1.94438266361314e-10,2.37918685580387e-08,14.5405244608004
"ORF9b",3.76087422801251,11.7663558072401,20.6678867941067,2.12501238228439e-10,2.55613777577497e-08,14.449166568294
"OAS1",1.80543328445434,7.42997762802771,20.6206005283061,2.17990820942428e-10,2.57846809371402e-08,14.4229233133288
"PTGS2",-1.55223129260671,7.68669543599626,-20.5658842973166,2.2453581169582e-10,2.61234533705776e-08,14.3924776292556
"TMBIM6",-2.65762164144279,3.77364144903846,-20.4778242825257,2.35521530830537e-10,2.695961781136e-08,14.343299803582
"CKS2",-1.02578204377973,7.43469229198276,-20.0087970087926,3.0476991602205e-10,3.22828670747536e-08,14.0775876633518
"ORF6",2.08923877230374,5.65050746981429,19.8115982045649,3.40237768390029e-10,3.55098153274123e-08,13.9639282375748
"CSN3",-1.04414749502888,6.18252407065219,-18.5838530843072,6.91799476290544e-10,6.81902900449165e-08,13.2289145292403
"TTK",-1.01974983397728,8.17868985674541,-18.2737830148514,8.33394296021124e-10,7.58281963956656e-08,13.0354176022535
"CDC20",-1.06253002222547,7.39042393809029,-17.8150793615175,1.10377425357677e-09,9.43793479233054e-08,12.7429770446978
"UBE2C",-1.16722924555356,7.76887698052468,-17.7493528653118,1.14975728677798e-09,9.71408031459919e-08,12.7004526332609
"HJURP",-1.02843623573588,6.94788725305076,-17.4130130846331,1.41999223039356e-09,1.11974276212257e-07,12.4803376210999
"NCOA4",-1.46139390368091,5.38802265984571,-16.9530719512758,1.90707489806718e-09,1.38107250526355e-07,12.1723491587193
"KLHL24",-1.84845561488956,3.21204745113491,-16.3972143626621,2.75131657500593e-09,1.82486857316048e-07,11.7888683096747
"APLP2",-1.25340319023384,6.91737002865093,-15.9369844883398,3.75970131912663e-09,2.36129205857006e-07,11.4615500169187
"LYZ",-1.42799058094306,4.48674773860423,-15.9126685335354,3.8231238427361e-09,2.38006227297352e-07,11.4440001618308
"FTH1",1.37168618625553,8.37802054888034,15.4589315727342,5.24674238158146e-09,3.07736617207303e-07,11.1116437189334
"GJB1",-1.33746101610755,5.80952904101462,-15.3047878274886,5.85375346345817e-09,3.35032970404537e-07,10.9965812871729
"SAMD9L",1.15111377639654,7.61840145692915,15.2172754266425,6.23192653239662e-09,3.45531114065772e-07,10.9307581540543
"NUSAP1",-1.59042578593962,5.01655646026828,-14.8574195338583,8.0898622353641e-09,4.3591442982963e-07,10.6562109869977
"ZCCHC2",1.049674624058,4.65948365106936,14.8544067102913,8.10775042095408e-09,4.3591442982963e-07,10.6538856153061
"FDCSP",-2.90615084134005,-Inf,-16.3395980480509,9.31192977772001e-09,4.82385150602036e-07,10.6526261417244
"TFCP2L1",-1.34734543926477,5.26852560641497,-14.2896506708484,1.23567945011736e-08,6.00658702567323e-07,10.2098630943583
"ISG15",1.54570247277622,9.28654313142879,14.1455012206922,1.37931440370539e-08,6.56979484771622e-07,10.0938686736368
"SP110",1.03469227327173,8.5008527191283,14.0045115484093,1.53744537666184e-08,7.08522716764227e-07,9.97933575413113
"PDZK1IP1",-2.3734360564143,4.16394977982858,-13.7653390345142,1.8524422641434e-08,8.23892395439441e-07,9.78254909655397
"NBR1",-1.07425595559117,5.0219968328514,-13.3656097993569,2.54612374572603e-08,1.06922131499513e-06,9.4464358049073
"ORF8",2.11537917528746,6.43272082495032,13.343646909241,2.59164476203433e-08,1.08193546330339e-06,9.42769944530258
"CXCL5",-1.19153326436856,6.42920841563197,-13.2817230788083,2.72480126010198e-08,1.11137439901976e-06,9.37471907556964
"PTTG1",-1.24649298588449,4.61673049515822,-12.6795953390008,4.48466925476706e-08,1.67514198426746e-06,8.84739659319252
"CFAP100",-1.25338350681729,6.9095178865622,-11.08816906974,1.86218962766691e-07,5.62381267555408e-06,7.33711905721118
"SERINC1",-1.10738835097185,4.87161702430021,-10.4019218922823,3.63251108397205e-07,9.72827591054702e-06,6.62696436194349
"ASF1B",-1.17933932172991,4.3737147762245,-10.2998546440459,4.02452927732595e-07,1.06178751974655e-05,6.51798868244604
"URB1-AS1",-1.02798354935638,4.39509244286904,-10.2493190192565,4.23532072961078e-07,1.11326189696473e-05,6.46369935638376
"TGFBI",1.09384596298857,10.4278624205314,9.72234027836681,7.30391236412914e-07,1.70512717263896e-05,5.88403054407197
"CHCHD2",-1.02176736093174,3.85089694452276,-9.44901437875634,9.7813668970562e-07,2.13594956518178e-05,5.57326927261807
"RNF128",-1.24795791451828,4.76580787219394,-9.39011404395705,1.04259285134471e-06,2.23543246706748e-05,5.5053632751449
"TMEM59",-1.76016784535165,3.43483567762888,-9.37156583242267,1.06382678203524e-06,2.27408996147714e-05,5.4839091469137
"SOX11",1.94269116558429,5.48729014035258,9.27846399791438,1.17768592033104e-06,2.4654976332122e-05,5.37571121710527
"LAPTM4A",-2.02434546088489,2.8256916957001,-9.17520904003177,1.31950874167076e-06,2.68325316321987e-05,5.25470981533529
"TIMP2",-1.09394310774828,7.45471110251479,-8.92580955296306,1.74381354502186e-06,3.34482289973517e-05,4.95800536735522
"SYNE1",-1.1554046052011,6.6888756665538,-8.74478594858633,2.14305852307993e-06,3.95705324112784e-05,4.73862051476458
"PPP1R14C",-1.17396072360101,3.77638203056733,-6.96018534633744,1.9758750572105e-05,0.000235281632231928,2.37699805495255
"RPL26L1",-1.43975365935872,2.71400827015461,-6.73852416197801,2.67321713283454e-05,0.000298299087920232,2.0562852562426
"THEMIS2",1.04061835310847,5.59188577434148,6.68119808582095,2.89355333823596e-05,0.000317887740579886,1.9722897085903
"ETS1",1.0179541487661,7.13934414801633,6.60322741664031,3.2248882542252e-05,0.0003467732112157,1.85734441094504
"TOMM20",1.11399225371652,6.93395467839343,6.15565948645222,6.10335795317259e-05,0.000574476543682571,1.18170983816564
"H1-4",1.38708625142013,6.89202863468399,6.06183027396087,7.00074834579106e-05,0.000633728456761214,1.03661325385575
"LDB1",1.33945302470531,4.42416227500169,6.00960874228458,7.56013669643741e-05,0.000668172978015147,0.955335690044659
"DHX58",1.05104577069513,-Inf,5.2280144815658,0.000337836082993512,0.0020976576386745,-0.437009450036907
"FTL",1.00520304628315,7.18493746440309,5.07422353220463,0.000319611600644338,0.00201855481561538,-0.563668619464156
"DBI",1.15280439389588,8.20388593617132,4.22402458015458,0.00131689065831823,0.00613994149318239,-2.04187305180444
"TIMM9",1.03619969153045,7.11102651926581,3.80728655452081,0.00272516321219898,0.0108289380274223,-2.79324891257714
"DPY30",1.16749214829019,5.94225791477041,3.38151763246892,0.0058307136887729,0.0197238203285135,-3.57107185898188
"CHD9",1.26460694771087,3.54300268138684,3.09947543603929,0.00971410468428618,0.0292370657100844,-4.0871430361951
"EFCAB6",-1.08139236193717,5.8926828741243,-3.03587175913994,0.0109035733300884,0.0318709472502624,-4.20313647627108
"NA",NA,NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA,NA
"NA.2",NA,NA,NA,NA,NA,NA
"NA.3",NA,NA,NA,NA,NA,NA
"NA.4",NA,NA,NA,NA,NA,NA
"NA.5",NA,NA,NA,NA,NA,NA
"NA.6",NA,NA,NA,NA,NA,NA
"NA.7",NA,NA,NA,NA,NA,NA
"NA.8",NA,NA,NA,NA,NA,NA
"NA.9",NA,NA,NA,NA,NA,NA
"NA.10",NA,NA,NA,NA,NA,NA
"NA.11",NA,NA,NA,NA,NA,NA
"NA.12",NA,NA,NA,NA,NA,NA
"NA.13",NA,NA,NA,NA,NA,NA
"NA.14",NA,NA,NA,NA,NA,NA
"NA.15",NA,NA,NA,NA,NA,NA
"NA.16",NA,NA,NA,NA,NA,NA
"NA.17",NA,NA,NA,NA,NA,NA
"NA.18",NA,NA,NA,NA,NA,NA
